排名,电影名称,导演,主演,Unnamed: 4,Unnamed: 5,上映年份,国家/地区,类型,评分,评价人数,简介,主要国家
128,完美的世界 ?/?强盗保镳,导演:,,,主演: 凯文·科斯特纳 Kevin Cos...,1993,美国,"['剧情', '犯罪']",9.1,348463,,美国
129,阳光灿烂的日子 ?/?In the Heat of the Sun,导演:,,,主演: 夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao,1994,中国大陆 中国香港,"['剧情', '爱情']",8.8,672450,,中国大陆
130,花样年华 ?/?花样年华导演特别版  /  花样年华4K修复版,导演:,,,主演: 张曼玉 Maggie Cheung / 梁朝伟 Tony Leu...,2000,中国香港,"['剧情', '爱情']",8.8,762298,,中国香港
131,小森林 夏秋篇 ?/?小森食光 / 夏秋篇(台) ,导演:,,,主演: 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,2014,日本,['剧情'],9.0,459993,那些静得只能听见呼吸的日子里，你明白孤独即生活。,日本
132,驯龙高手 ?/?驯龙记(港),导演:,,,主演:...,2010,美国,"['动画', '奇幻', '冒险']",8.8,826100,和谐的生活离不开摸头与被摸头。,美国
133,天使爱美丽 ?/?艾蜜莉的异想世界(台)  /  天使艾米莉,导演:,,,主演: 奥黛丽·塔图 Audrey Tau...,2001,法国 德国,"['剧情', '喜剧', '爱情']",8.7,1002515,,法国
134,新世界 ?/?暗黑新世界(台)  /  New World,导演:,,,主演: 李政宰 Jung-Jae Lee / 崔岷植 Min-sik...,2013,韩国,"['剧情', '犯罪']",8.9,504284,要做就做得狠一点，这样才能活下去。,韩国
135,傲慢与偏见 ?/?傲慢与偏见2005  /  Pride And Prejudice,导演:,,,主演: 凯拉·奈特莉 Keira Knightley / 马修·...,2005,法国 英国 美国,"['剧情', '爱情']",8.7,889595,爱是摈弃傲慢与偏见之后的曙光。,法国
136,侧耳倾听 ?/?心之谷(台)  /  梦幻街少女(港),导演:,,,主演: 本名阳子 Youko Honna / 小林桂树 K...,1995,日本,"['剧情', '爱情', '动画']",8.9,505672,,日本
137,一个叫欧维的男人决定去死 ?/?明天别再来敲门(台)  /  想死冇咁易(港),导演:,,,主演: 罗夫·拉斯加德 Rolf Lassg?rd...,2015,瑞典,['剧情'],8.9,544017,惠及一生的美丽。,瑞典
138,怪兽电力公司 ?/?怪兽公司(港)  /  怪物公司,导演:,,,主演: 约...,2001,美国,"['儿童', '喜剧', '动画', '奇幻', '冒险']",8.8,743719,,美国
139,玩具总动员3 ?/?反斗奇兵3(港)  /  玩具的故事3,导演:,,,主演: 汤姆·汉克斯 Tom Hanks / 蒂姆·艾...,2010,美国,"['喜剧', '动画', '奇幻', '冒险']",8.9,570957,跨度十五年的欢乐与泪水。,美国
140,请以你的名字呼唤我 ?/?以你的名字呼唤我(港 / 台) ,导演:,,,主演: 艾米·汉莫 Armie Hammer / ...,2017,意大利 法国 巴西 美国,"['剧情', '爱情', '同性']",8.8,796139,沉醉在电影的情感和视听氛围中无法自拔。,意大利
141,教父3 ?/?教父第三集  /  教父 III,导演:,,,主演: 阿尔·帕西诺 A...,1990,美国,"['剧情', '犯罪']",9.0,415212,,美国
